S.No,Date,Prvs Closing,Capital Add,Opn Bal,Cash,Online,Roinet,Jio,Go2Sms,Credit,Pending,Damages,Expense,Total,Wthdrwl,Cls Bal,,,,,,,,,,,,
272,27-Feb-2024,241763,₹ 0,"₹ 2,41,763","₹ 87,220","₹ 68,418","₹ 7,239","₹ 2,643",₹ 321,"₹ 77,554",₹ 0,₹ 0,₹ 0,"₹ 2,43,395",₹ 0,"₹ 2,43,395",,,,,,,,,,,,
273,28-Feb-2024,243395,₹ 0,"₹ 2,43,395","₹ 58,880","₹ 83,006","₹ 22,426","₹ 2,404",₹ 321,"₹ 77,554",₹ 0,₹ 0,₹ 240,"₹ 2,44,831",₹ 0,"₹ 2,44,591",,,,,,,,,,,,
274,29-Feb-2024,244591,₹ 0,"₹ 2,44,591","₹ 74,880","₹ 67,879","₹ 24,589","₹ 2,279",₹ 321,"₹ 77,554",₹ 0,₹ 0,₹ 0,"₹ 2,47,502",₹ 0,"₹ 2,47,502",,,,,,,,,,,,
275,1-Mar-2024,247502,₹ 0,"₹ 2,47,502","₹ 82,090","₹ 50,741","₹ 46,451","₹ 1,852",₹ 321,"₹ 67,854",₹ 0,₹ 0,₹ 0,"₹ 2,49,309",₹ 0,"₹ 2,49,309",,,,,,,,,,,,
276,2-Mar-2024,249309,₹ 0,"₹ 2,49,309","₹ 63,710","₹ 86,384","₹ 1,699","₹ 1,205",₹ 321,"₹ 97,654",₹ 0,₹ 0,₹ 0,"₹ 2,50,973",₹ 0,"₹ 2,50,973",,,,,,,,,,,,
277,3-Mar-2024,250973,₹ 0,"₹ 2,50,973","₹ 49,645","₹ 44,554","₹ 51,075",₹ 678,₹ 321,"₹ 1,06,394",₹ 0,₹ 0,₹ 500,"₹ 2,53,167","₹ 51,000","₹ 2,01,667",,,,,,,,,,,,
278,4-Mar-2024,201667,₹ 0,"₹ 2,01,667","₹ 42,260","₹ 31,979","₹ 33,259","₹ 2,708",₹ 321,"₹ 91,784",₹ 0,₹ 0,"₹ 1,451","₹ 2,03,762",₹ 0,"₹ 2,02,311",,,,,,,,,,,,
279,5-Mar-2024,202311,₹ 0,"₹ 2,02,311","₹ 91,630","₹ 20,544","₹ 5,016","₹ 1,514",₹ 321,"₹ 86,754",₹ 0,₹ 0,₹ 50,"₹ 2,05,829",₹ 0,"₹ 2,05,779",,,,,,,,,,,,
280,6-Mar-2024,205779,₹ 0,"₹ 2,05,779","₹ 1,91,240","₹ 10,138",₹ 716,₹ 445,₹ 321,"₹ 5,693",₹ 0,₹ 0,₹ 0,"₹ 2,08,553",₹ 0,"₹ 2,08,553",,,,,,,,,,,,
281,7-Mar-2024,208553,₹ 0,"₹ 2,08,553","₹ 48,180","₹ 42,055","₹ 13,184","₹ 1,636",₹ 321,"₹ 1,05,504",₹ 0,₹ 0,₹ 0,"₹ 2,10,880",₹ 0,"₹ 2,10,880",,,,,,,,,,,,
282,8-Mar-2024,210880,₹ 0,"₹ 2,10,880","₹ 64,760","₹ 45,618","₹ 27,949",₹ 959,₹ 321,"₹ 73,060",₹ 0,₹ 0,₹ 50,"₹ 2,12,717",₹ 0,"₹ 2,12,667",,,,,,,,,,,,
283,9-Mar-2024,212667,₹ 0,"₹ 2,12,667","₹ 61,820","₹ 69,962","₹ 3,762","₹ 3,302",₹ 321,"₹ 83,500",₹ 0,₹ 0,"₹ 1,080","₹ 2,23,747",₹ 0,"₹ 2,22,667",,,,,,,,,,,,
284,10-Mar-2024,222667,₹ 0,"₹ 2,22,667","₹ 1,27,340","₹ 15,861",₹ 905,"₹ 3,103",₹ 321,"₹ 74,480",₹ 0,₹ 0,"₹ 4,070","₹ 2,26,080",₹ 0,"₹ 2,22,010",,,,,,,,,,,,
285,11-Mar-2024,222010,₹ 0,"₹ 2,22,010","₹ 1,00,420","₹ 24,529","₹ 3,752","₹ 2,350",₹ 321,"₹ 92,230",₹ 0,₹ 0,₹ 0,"₹ 2,23,602",₹ 0,"₹ 2,23,602",,,,,,,,,,,,
286,12-Mar-2024,223602,₹ 0,"₹ 2,23,602","₹ 98,780","₹ 14,406","₹ 17,894","₹ 1,877",₹ 321,"₹ 92,420",₹ 0,₹ 0,₹ 10,"₹ 2,25,708",₹ 0,"₹ 2,25,698",,,,,,,,,,,,
287,13-Mar-2024,225698,₹ 0,"₹ 2,25,698","₹ 69,030","₹ 86,439","₹ 4,168","₹ 1,470",₹ 321,"₹ 67,420",₹ 0,₹ 0,₹ 0,"₹ 2,28,848",₹ 0,"₹ 2,28,848",,,,,,,,,,,,
288,14-Mar-2024,228848,₹ 0,"₹ 2,28,848","₹ 51,290","₹ 75,886","₹ 43,602","₹ 1,970",₹ 321,"₹ 58,420",₹ 0,₹ 0,₹ 60,"₹ 2,31,549",₹ 0,"₹ 2,31,489",,,,,,,,,,,,
289,15-Mar-2024,231489,₹ 0,"₹ 2,31,489","₹ 77,770","₹ 21,740","₹ 54,984","₹ 1,622",₹ 321,"₹ 76,380",₹ 0,₹ 0,₹ 0,"₹ 2,32,817",₹ 0,"₹ 2,32,817",,,,,,,,,,,,
290,16-Mar-2024,232817,₹ 0,"₹ 2,32,817","₹ 1,54,420","₹ 5,056",₹ 108,"₹ 1,125",₹ 321,"₹ 76,380",₹ 0,₹ 0,₹ 0,"₹ 2,37,410",₹ 0,"₹ 2,37,410",,,,,,,,,,,,
291,17-Mar-2024,237410,₹ 0,"₹ 2,37,410","₹ 1,65,670","₹ 1,580","₹ 3,117","₹ 2,959",₹ 321,"₹ 67,880",₹ 0,₹ 0,₹ 20,"₹ 2,41,547",₹ 0,"₹ 2,41,527",,,,,,,,,,,,
292,18-Mar-2024,241527,₹ 0,"₹ 2,41,527","₹ 1,08,700","₹ 10,770","₹ 26,926","₹ 2,532",₹ 321,"₹ 94,780",₹ 0,₹ 0,₹ 500,"₹ 2,44,529",₹ 0,"₹ 2,44,029",,,,,,,,,,,,
293,19-Mar-2024,244029,₹ 0,"₹ 2,44,029","₹ 1,35,770","₹ 6,637","₹ 6,997","₹ 2,146",₹ 321,"₹ 95,590",₹ 0,₹ 0,₹ 0,"₹ 2,47,461",₹ 0,"₹ 2,47,461",,,,,,,,,,,,
294,20-Mar-2024,247461,₹ 0,"₹ 2,47,461","₹ 99,310","₹ 56,776","₹ 3,715","₹ 1,947",₹ 321,"₹ 88,590",₹ 0,₹ 0,₹ 0,"₹ 2,50,659",₹ 0,"₹ 2,50,659",,,,,,,,,,,,
295,21-Mar-2024,250659,₹ 0,"₹ 2,50,659","₹ 1,18,135","₹ 43,256","₹ 17,006","₹ 1,559",₹ 321,"₹ 73,690",₹ 0,₹ 0,₹ 10,"₹ 2,53,977",₹ 0,"₹ 2,53,967",,,,,,,,,,,,
296,22-Mar-2024,253967,₹ 0,"₹ 2,53,967","₹ 73,750","₹ 79,139","₹ 16,877","₹ 1,351",₹ 321,"₹ 84,960",₹ 0,₹ 0,₹ 0,"₹ 2,56,398",₹ 0,"₹ 2,56,398",,,,,,,,,,,,
297,23-Mar-2024,256398,₹ 0,"₹ 2,56,398","₹ 1,14,400","₹ 65,350",₹ 211,₹ 602,₹ 321,"₹ 78,960",₹ 0,₹ 0,₹ 200,"₹ 2,60,044",₹ 0,"₹ 2,59,844",,,,,,,,,,,,
298,24-Mar-2024,259844,₹ 0,"₹ 2,59,844","₹ 1,08,750","₹ 58,479","₹ 12,278","₹ 2,958",₹ 321,"₹ 79,210",₹ 0,₹ 0,₹ 0,"₹ 2,61,996",₹ 0,"₹ 2,61,996",,,,,,,,,,,,
299,25-Mar-2024,261996,₹ 0,"₹ 2,61,996","₹ 1,19,120","₹ 39,829","₹ 6,444","₹ 1,936",₹ 321,"₹ 91,510",₹ 0,₹ 0,"₹ 3,000","₹ 2,62,160",₹ 0,"₹ 2,59,160",,,,,,,,,,,,
300,26-Mar-2024,259160,₹ 0,"₹ 2,59,160","₹ 97,540","₹ 18,895","₹ 63,443","₹ 1,479",₹ 321,"₹ 81,510",₹ 0,₹ 0,₹ 0,"₹ 2,63,188","₹ 62,000","₹ 2,01,188",,,,,,,,,,,,
301,27-Mar-2024,201188,₹ 0,"₹ 2,01,188","₹ 70,120","₹ 27,627",₹ 141,"₹ 3,190",₹ 321,"₹ 1,01,810",₹ 0,₹ 0,₹ 240,"₹ 2,03,449",₹ 0,"₹ 2,03,209",,,,,,,,,,,,
302,28-Mar-2024,203209,₹ 0,"₹ 2,03,209","₹ 67,985","₹ 14,027","₹ 49,627","₹ 2,120",₹ 321,"₹ 74,660",₹ 0,₹ 0,₹ 50,"₹ 2,08,790",₹ 0,"₹ 2,08,740",,,,,,,,,,,,
303,29-Mar-2024,208740,₹ 0,"₹ 2,08,740","₹ 67,250","₹ 56,927","₹ 23,063","₹ 1,592",₹ 321,"₹ 64,660",₹ 0,₹ 0,₹ 0,"₹ 2,13,813",₹ 0,"₹ 2,13,813",,,,,,,,,,,,
304,30-Mar-2024,213813,₹ 0,"₹ 2,13,813","₹ 1,33,415","₹ 10,297",₹ 294,₹ 655,₹ 321,"₹ 70,660",₹ 0,₹ 0,₹ 0,"₹ 2,15,642",₹ 0,"₹ 2,15,642",,,,,,,,,,,,
305,31-Mar-2024,215642,₹ 0,"₹ 2,15,642","₹ 63,705","₹ 43,967","₹ 28,667","₹ 2,661",₹ 321,"₹ 73,960",₹ 0,₹ 0,"₹ 3,930","₹ 2,17,211",₹ 0,"₹ 2,13,281",,,,,,,,,,,,
306,1-Apr-2024,213281,₹ 0,"₹ 2,13,281","₹ 56,420","₹ 39,737","₹ 25,178","₹ 2,294",₹ 321,"₹ 76,560",₹ 0,₹ 0,"₹ 16,000","₹ 2,16,510",₹ 0,"₹ 2,00,510",,,,,,,,,,,,
307,2-Apr-2024,200510,₹ 0,"₹ 2,00,510","₹ 19,995","₹ 61,146","₹ 46,695","₹ 2,294",₹ 321,"₹ 70,560",₹ 0,₹ 0,"₹ 1,501","₹ 2,02,512",₹ 0,"₹ 2,01,011",,,,,,,,,,,,
308,3-Apr-2024,201011,₹ 0,"₹ 2,01,011","₹ 68,390","₹ 47,362","₹ 13,926","₹ 1,498",₹ 321,"₹ 70,560",₹ 0,₹ 0,"₹ 1,500","₹ 2,03,557",₹ 0,"₹ 2,02,057",,,,,,,,,,,,
309,4-Apr-2024,202057,₹ 0,"₹ 2,02,057","₹ 43,660","₹ 60,622","₹ 17,925","₹ 2,763",₹ 321,"₹ 79,670",₹ 0,₹ 0,₹ 150,"₹ 2,05,111",₹ 0,"₹ 2,04,961",,,,,,,,,,,,
310,5-Apr-2024,204961,₹ 0,"₹ 2,04,961","₹ 46,640","₹ 60,099","₹ 10,885","₹ 2,063",₹ 321,"₹ 84,690",₹ 0,₹ 0,"₹ 2,384","₹ 2,07,082",₹ 0,"₹ 2,04,698",,,,,,,,,,,,
311,6-Apr-2024,204698,₹ 0,"₹ 2,04,698","₹ 65,270","₹ 34,843","₹ 22,087","₹ 1,523",₹ 321,"₹ 82,690",₹ 0,₹ 0,₹ 0,"₹ 2,06,734",₹ 0,"₹ 2,06,734",,,,,,,,,,,,
312,7-Apr-2024,206734,₹ 0,"₹ 2,06,734","₹ 71,400","₹ 32,656","₹ 9,911",₹ 593,₹ 321,"₹ 92,690",₹ 0,₹ 0,₹ 170,"₹ 2,07,741",₹ 0,"₹ 2,07,571",,,,,,,,,,,,
313,8-Apr-2024,207571,₹ 0,"₹ 2,07,571","₹ 63,060","₹ 50,500","₹ 10,460","₹ 2,763",₹ 321,"₹ 83,170",₹ 0,₹ 0,₹ 0,"₹ 2,10,274",₹ 0,"₹ 2,10,274",,,,,,,,,,,,
314,9-Apr-2024,210274,₹ 0,"₹ 2,10,274","₹ 42,180","₹ 61,260","₹ 11,339","₹ 2,166",₹ 321,"₹ 94,270",₹ 0,₹ 0,₹ 500,"₹ 2,12,036",₹ 0,"₹ 2,11,536",,,,,,,,,,,,
315,10-Apr-2024,211536,₹ 0,"₹ 2,11,536","₹ 63,790","₹ 34,964","₹ 19,235","₹ 1,927",₹ 321,"₹ 90,270",₹ 0,₹ 0,"₹ 4,000","₹ 2,14,507",₹ 0,"₹ 2,10,507",,,,,,,,,,,,
316,11-Apr-2024,210507,₹ 0,"₹ 2,10,507","₹ 2,400","₹ 87,440","₹ 46,075","₹ 1,156",₹ 321,"₹ 75,270",₹ 0,₹ 0,₹ 0,"₹ 2,12,662",₹ 0,"₹ 2,12,662",,,,,,,,,,,,
317,12-Apr-2024,212662,₹ 0,"₹ 2,12,662","₹ 64,530","₹ 28,660","₹ 27,469","₹ 2,823",₹ 321,"₹ 92,110",₹ 0,₹ 0,₹ 0,"₹ 2,15,913",₹ 0,"₹ 2,15,913",,,,,,,,,,,,
318,13-Apr-2024,215913,₹ 0,"₹ 2,15,913","₹ 1,04,980","₹ 12,706","₹ 5,054","₹ 1,619",₹ 321,"₹ 92,110",₹ 0,₹ 0,₹ 600,"₹ 2,17,390",₹ 0,"₹ 2,16,790",,,,,,,,,,,,
319,14-Apr-2024,216790,₹ 0,"₹ 2,16,790","₹ 96,140","₹ 29,099","₹ 8,704",₹ 503,₹ 321,"₹ 85,110",₹ 0,₹ 0,₹ 0,"₹ 2,19,877",₹ 0,"₹ 2,19,877",,,,,,,,,,,,
320,15-Apr-2024,219877,₹ 0,"₹ 2,19,877","₹ 66,200","₹ 49,739","₹ 15,378","₹ 3,098",₹ 321,"₹ 85,110",₹ 0,₹ 0,"₹ 3,580","₹ 2,23,426",₹ 0,"₹ 2,19,846",,,,,,,,,,,,
321,16-Apr-2024,219846,₹ 0,"₹ 2,19,846","₹ 1,19,040","₹ 14,786","₹ 1,486","₹ 2,681",₹ 321,"₹ 84,610",₹ 0,₹ 0,₹ 50,"₹ 2,22,974",₹ 0,"₹ 2,22,924",,,,,,,,,,,,
322,17-Apr-2024,222924,₹ 0,"₹ 2,22,924","₹ 1,26,115","₹ 12,544",₹ 823,"₹ 2,453",₹ 321,"₹ 83,410",₹ 0,₹ 0,₹ 50,"₹ 2,25,716",₹ 0,"₹ 2,25,666",,,,,,,,,,,,
323,18-Apr-2024,225666,₹ 0,"₹ 2,25,666","₹ 85,415","₹ 29,580","₹ 48,230","₹ 2,361",₹ 321,"₹ 62,410",₹ 0,₹ 0,₹ 0,"₹ 2,28,317",₹ 0,"₹ 2,28,317",,,,,,,,,,,,
324,19-Apr-2024,228317,₹ 0,"₹ 2,28,317","₹ 66,430","₹ 49,284","₹ 19,482","₹ 2,133",₹ 321,"₹ 92,910",₹ 0,₹ 0,₹ 0,"₹ 2,30,560",₹ 0,"₹ 2,30,560",,,,,,,,,,,,
325,20-Apr-2024,230560,₹ 0,"₹ 2,30,560","₹ 47,835","₹ 84,695","₹ 3,942","₹ 1,695",₹ 321,"₹ 93,670",₹ 0,₹ 0,₹ 380,"₹ 2,32,538",₹ 0,"₹ 2,32,158",,,,,,,,,,,,
326,21-Apr-2024,232158,₹ 0,"₹ 2,32,158","₹ 90,295","₹ 29,776","₹ 3,685","₹ 1,318",₹ 321,"₹ 1,07,670",₹ 0,₹ 0,₹ 600,"₹ 2,33,665",₹ 0,"₹ 2,33,065",,,,,,,,,,,,
327,22-Apr-2024,233065,₹ 0,"₹ 2,33,065","₹ 29,510","₹ 97,651","₹ 3,921",₹ 920,₹ 321,"₹ 1,02,670",₹ 0,₹ 0,₹ 0,"₹ 2,34,993",₹ 0,"₹ 2,34,993",,,,,,,,,,,,
328,23-Apr-2024,234993,₹ 0,"₹ 2,34,993","₹ 1,00,320","₹ 25,463",₹ 491,₹ 627,₹ 321,"₹ 1,09,870",₹ 0,₹ 0,₹ 50,"₹ 2,37,142",₹ 0,"₹ 2,37,092",,,,,,,,,,,,
329,24-Apr-2024,237092,₹ 0,"₹ 2,37,092","₹ 73,790","₹ 50,193","₹ 1,359","₹ 3,160",₹ 321,"₹ 1,04,680",₹ 0,₹ 0,"₹ 5,940","₹ 2,39,443",₹ 0,"₹ 2,33,503",,,,,,,,,,,,
330,25-Apr-2024,233503,₹ 0,"₹ 2,33,503","₹ 97,430","₹ 22,196","₹ 4,135","₹ 2,907",₹ 321,"₹ 1,06,480",₹ 0,₹ 0,"₹ 3,350","₹ 2,36,819",₹ 0,"₹ 2,33,469",,,,,,,,,,,,
331,26-Apr-2024,233469,₹ 0,"₹ 2,33,469","₹ 79,040","₹ 46,759",₹ 224,"₹ 2,310",₹ 321,"₹ 1,06,480",₹ 0,₹ 0,₹ 0,"₹ 2,35,134",₹ 0,"₹ 2,35,134",,,,,,,,,,,,
332,27-Apr-2024,235134,₹ 0,"₹ 2,35,134","₹ 9,390","₹ 1,33,321",₹ 293,"₹ 2,281",₹ 321,"₹ 91,480",₹ 0,₹ 0,₹ 0,"₹ 2,37,086",₹ 0,"₹ 2,37,086",,,,,,,,,,,,
333,28-Apr-2024,237086,₹ 0,"₹ 2,37,086","₹ 81,070","₹ 33,592","₹ 7,096","₹ 1,485",₹ 321,"₹ 1,16,480",₹ 0,₹ 0,₹ 0,"₹ 2,40,044",₹ 0,"₹ 2,40,044",,,,,,,,,,,,
334,29-Apr-2024,240044,₹ 0,"₹ 2,40,044","₹ 16,530","₹ 1,12,199","₹ 4,758","₹ 1,087",₹ 321,"₹ 1,06,480",₹ 0,₹ 0,₹ 0,"₹ 2,41,375",₹ 0,"₹ 2,41,375",,,,,,,,,,,,
335,30-Apr-2024,241375,₹ 0,"₹ 2,41,375","₹ 77,160","₹ 50,978","₹ 16,284","₹ 2,388",₹ 321,"₹ 96,480",₹ 0,₹ 0,₹ 415,"₹ 2,44,026","₹ 40,000","₹ 2,03,611",,,,,,,,,,,,
336,1-May-2024,203611,₹ 0,"₹ 2,03,611","₹ 90,070","₹ 15,169","₹ 10,814","₹ 2,388",₹ 321,"₹ 86,800",₹ 0,₹ 0,₹ 120,"₹ 2,05,682",₹ 0,"₹ 2,05,562",,,,,,,,,,,,
337,2-May-2024,205562,₹ 0,"₹ 2,05,562","₹ 1,365","₹ 77,290","₹ 52,498","₹ 2,640",₹ 321,"₹ 76,450",₹ 0,₹ 0,₹ 0,"₹ 2,10,564",₹ 0,"₹ 2,10,564",,,,,,,,,,,,
338,3-May-2024,210564,₹ 0,"₹ 2,10,564","₹ 39,895","₹ 80,680","₹ 2,987","₹ 1,249",₹ 321,"₹ 89,200",₹ 0,₹ 0,₹ 140,"₹ 2,14,472",₹ 0,"₹ 2,14,332",,,,,,,,,,,,
339,4-May-2024,214332,₹ 0,"₹ 2,14,332","₹ 94,395","₹ 29,384","₹ 1,200",₹ 981,₹ 321,"₹ 89,350",₹ 0,₹ 0,"₹ 1,560","₹ 2,17,191",₹ 0,"₹ 2,15,631",,,,,,,,,,,,
340,5-May-2024,215631,₹ 0,"₹ 2,15,631","₹ 42,915","₹ 80,835",₹ 357,"₹ 3,476",₹ 321,"₹ 89,170",₹ 0,₹ 0,₹ 90,"₹ 2,17,164",₹ 0,"₹ 2,17,074",,,,,,,,,,,,
341,6-May-2024,217074,₹ 0,"₹ 2,17,074","₹ 39,260","₹ 76,627",₹ 189,"₹ 2,469",₹ 321,"₹ 97,420",₹ 0,₹ 0,"₹ 2,890","₹ 2,19,176",₹ 0,"₹ 2,16,286",,,,,,,,,,,,
342,7-May-2024,216286,₹ 0,"₹ 2,16,286","₹ 23,290","₹ 95,384",₹ 690,"₹ 1,663",₹ 321,"₹ 96,420",₹ 0,₹ 0,₹ 300,"₹ 2,18,068",₹ 0,"₹ 2,17,768",,,,,,,,,,,,
343,8-May-2024,217768,₹ 0,"₹ 2,17,768","₹ 31,440","₹ 64,512","₹ 21,653","₹ 1,066",₹ 321,"₹ 1,00,670",₹ 0,₹ 0,₹ 100,"₹ 2,19,762",₹ 0,"₹ 2,19,662",,,,,,,,,,,,
344,9-May-2024,219662,₹ 0,"₹ 2,19,662","₹ 62,580","₹ 66,800","₹ 1,272","₹ 1,928",₹ 321,"₹ 90,670",₹ 0,₹ 0,₹ 120,"₹ 2,23,691",₹ 0,"₹ 2,23,571",,,,,,,,,,,,
345,10-May-2024,223571,₹ 0,"₹ 2,23,571","₹ 72,750","₹ 60,485","₹ 2,353",₹ 914,₹ 321,"₹ 83,880",₹ 0,₹ 0,"₹ 4,800","₹ 2,25,503",₹ 0,"₹ 2,20,703",,,,,,,,,,,,
346,11-May-2024,220703,₹ 0,"₹ 2,20,703","₹ 61,900","₹ 68,755","₹ 7,121",₹ 675,₹ 321,"₹ 83,880",₹ 0,₹ 0,₹ 170,"₹ 2,22,822",₹ 0,"₹ 2,22,652",,,,,,,,,,,,
347,12-May-2024,222652,₹ 0,"₹ 2,22,652","₹ 59,770","₹ 50,588","₹ 35,084","₹ 2,778",₹ 321,"₹ 73,800",₹ 0,₹ 0,"₹ 2,240","₹ 2,24,581",₹ 0,"₹ 2,22,341",,,,,,,,,,,,
348,13-May-2024,222341,₹ 0,"₹ 2,22,341","₹ 76,050","₹ 59,187",₹ 359,"₹ 2,531",₹ 321,"₹ 83,800",₹ 0,₹ 0,"₹ 2,480","₹ 2,24,728",₹ 0,"₹ 2,22,248",,,,,,,,,,,,
349,14-May-2024,222248,₹ 0,"₹ 2,22,248","₹ 13,590","₹ 97,935","₹ 6,422","₹ 2,382",₹ 321,"₹ 1,05,700",₹ 0,₹ 0,₹ 870,"₹ 2,27,220",₹ 0,"₹ 2,26,350",,,,,,,,,,,,
350,15-May-2024,226350,₹ 0,"₹ 2,26,350","₹ 83,420","₹ 33,830","₹ 3,339","₹ 1,567",₹ 321,"₹ 1,05,700",₹ 0,₹ 0,"₹ 2,140","₹ 2,30,317",₹ 0,"₹ 2,28,177",,,,,,,,,,,,
351,16-May-2024,228177,₹ 0,"₹ 2,28,177","₹ 60,070","₹ 50,643","₹ 2,764","₹ 1,418",₹ 321,"₹ 1,17,400",₹ 0,₹ 0,₹ 325,"₹ 2,32,941",₹ 0,"₹ 2,32,616",,,,,,,,,,,,
352,17-May-2024,232616,₹ 0,"₹ 2,32,616","₹ 90,510","₹ 30,770","₹ 2,631","₹ 3,035",₹ 321,"₹ 1,07,200",₹ 0,₹ 0,₹ 575,"₹ 2,35,042",₹ 0,"₹ 2,34,467",,,,,,,,,,,,
353,18-May-2024,234467,₹ 0,"₹ 2,34,467","₹ 1,05,460","₹ 26,118","₹ 2,939","₹ 2,637",₹ 321,"₹ 96,200",₹ 0,₹ 0,"₹ 2,362","₹ 2,36,037",₹ 0,"₹ 2,33,675",,,,,,,,,,,,
354,19-May-2024,233675,₹ 0,"₹ 2,33,675","₹ 57,300","₹ 64,767","₹ 5,425","₹ 1,160",₹ 321,"₹ 1,06,500",₹ 0,₹ 0,"₹ 2,230","₹ 2,37,703",₹ 0,"₹ 2,35,473",,,,,,,,,,,,
355,20-May-2024,235473,₹ 0,"₹ 2,35,473","₹ 98,140","₹ 26,395",₹ 835,₹ 752,₹ 321,"₹ 1,05,200",₹ 0,₹ 0,"₹ 6,220","₹ 2,37,863",₹ 0,"₹ 2,31,643",,,,,,,,,,,,
356,21-May-2024,231643,₹ 0,"₹ 2,31,643","₹ 71,630","₹ 55,458",₹ 547,₹ 704,₹ 321,"₹ 1,05,200",₹ 0,₹ 0,₹ 60,"₹ 2,33,920",₹ 0,"₹ 2,33,860",,,,,,,,,,,,
357,22-May-2024,233860,₹ 0,"₹ 2,33,860","₹ 1,05,320","₹ 21,673",₹ 251,₹ 346,₹ 321,"₹ 97,600",₹ 0,₹ 0,"₹ 9,810","₹ 2,35,321",₹ 0,"₹ 2,25,511",,,,,,,,,,,,
358,23-May-2024,225511,₹ 0,"₹ 2,25,511","₹ 29,760","₹ 94,508",₹ 486,"₹ 2,748",₹ 321,"₹ 91,600",₹ 0,₹ 0,"₹ 9,100","₹ 2,28,523",₹ 0,"₹ 2,19,423",,,,,,,,,,,,
359,24-May-2024,219423,₹ 0,"₹ 2,19,423","₹ 1,01,055","₹ 19,587","₹ 3,725","₹ 1,901",₹ 321,"₹ 81,600",₹ 0,₹ 0,"₹ 14,390","₹ 2,22,579",₹ 0,"₹ 2,08,189",,,,,,,,,,,,
360,25-May-2024,208189,₹ 0,"₹ 2,08,189","₹ 1,19,708","₹ 1,365","₹ 1,642","₹ 1,503",₹ 321,"₹ 87,100",₹ 0,₹ 0,₹ 220,"₹ 2,11,859",₹ 0,"₹ 2,11,639",,,,,,,,,,,,
361,26-May-2024,211639,₹ 0,"₹ 2,11,639","₹ 1,08,555","₹ 12,679",₹ 583,₹ 825,₹ 321,"₹ 87,100",₹ 0,₹ 0,"₹ 3,570","₹ 2,13,633",₹ 0,"₹ 2,10,063",,,,,,,,,,,,
362,27-May-2024,210063,₹ 0,"₹ 2,10,063","₹ 98,525","₹ 18,879","₹ 3,343",₹ 368,₹ 321,"₹ 92,100",₹ 0,₹ 0,₹ 0,"₹ 2,13,536",₹ 0,"₹ 2,13,536",,,,,,,,,,,,
363,28-May-2024,213536,₹ 0,"₹ 2,13,536","₹ 1,04,400","₹ 18,370","₹ 6,952","₹ 2,572",₹ 321,"₹ 82,000",₹ 0,₹ 0,₹ 25,"₹ 2,14,640",₹ 0,"₹ 2,14,615",,,,,,,,,,,,
364,29-May-2024,214615,₹ 0,"₹ 2,14,615","₹ 80,460","₹ 44,792","₹ 7,621","₹ 2,248",₹ 321,"₹ 82,000",₹ 0,₹ 0,₹ 730,"₹ 2,18,172",₹ 0,"₹ 2,17,442",,,,,,,,,,,,
365,30-May-2024,217442,₹ 0,"₹ 2,17,442","₹ 82,670","₹ 38,925","₹ 24,772","₹ 1,313",₹ 321,"₹ 72,000",₹ 0,₹ 0,₹ 770,"₹ 2,20,771",₹ 0,"₹ 2,20,001",,,,,,,,,,,,
366,31-May-2024,220001,₹ 0,"₹ 2,20,001","₹ 52,150","₹ 67,806","₹ 28,363","₹ 2,156",₹ 321,"₹ 72,000",₹ 0,₹ 0,₹ 0,"₹ 2,22,796",₹ 0,"₹ 2,22,796",,,,,,,,,,,,
367,1-Jun-2024,222796,₹ 0,"₹ 2,22,796","₹ 92,200","₹ 5,504","₹ 37,138","₹ 1,898",₹ 321,"₹ 87,800",₹ 0,₹ 0,₹ 160,"₹ 2,25,021",₹ 0,"₹ 2,24,861",,,,,,,,,,,,
368,2-Jun-2024,224861,₹ 0,"₹ 2,24,861","₹ 19,880","₹ 68,086","₹ 46,019","₹ 1,500",₹ 321,"₹ 90,200",₹ 0,₹ 0,₹ 300,"₹ 2,26,306",₹ 0,"₹ 2,26,006",,,,,,,,,,,,
369,3-Jun-2024,226006,₹ 0,"₹ 2,26,006","₹ 63,980","₹ 57,852","₹ 26,939",₹ 335,₹ 321,"₹ 80,340",₹ 0,₹ 0,₹ 100,"₹ 2,29,867",₹ 0,"₹ 2,29,767",,,,,,,,,,,,
370,4-Jun-2024,229767,₹ 0,"₹ 2,29,767","₹ 19,070","₹ 71,733","₹ 41,914","₹ 2,354",₹ 321,"₹ 97,240",₹ 0,₹ 0,₹ 140,"₹ 2,32,772",₹ 0,"₹ 2,32,632",,,,,,,,,,,,
371,5-Jun-2024,232632,₹ 0,"₹ 2,32,632","₹ 1,13,577","₹ 21,708",₹ 105,"₹ 1,732",₹ 321,"₹ 97,240",₹ 0,₹ 0,₹ 40,"₹ 2,34,723",₹ 0,"₹ 2,34,683",,,,,,,,,,,,
372,6-Jun-2024,234683,"₹ 40,000","₹ 2,74,683","₹ 1,13,577","₹ 66,518","₹ 3,473",₹ 896,₹ 321,"₹ 91,340",₹ 0,₹ 0,₹ 350,"₹ 2,76,475","₹ 10,000","₹ 2,66,125",,,,,,,,,,,,
373,7-Jun-2024,266125,₹ 0,"₹ 2,66,125","₹ 1,13,577","₹ 44,059","₹ 15,515","₹ 3,627",₹ 321,"₹ 91,340",₹ 0,₹ 0,₹ 395,"₹ 2,68,834",₹ 0,"₹ 2,68,439",,,,,,,,,,,,
